,subID,task,Video,Track,Timestamp,Attribute,Value,Comment,HMD,offset,Timestamp_adjusted
22,P24,cereal,P24_cereal_2_merged_varjo.mp4,error frame,74.0,skill:score,3:2,,varjo,True,77.06212599121163
23,P24,cereal,P24_cereal_2_merged_varjo.mp4,error frame,86.48,skill:score,27:2,,varjo,True,89.54212599121163
24,P24,cereal,P24_cereal_2_merged_varjo.mp4,error frame,94.04,skill:score,3:2,,varjo,True,97.10212599121164
25,P24,cereal,P24_cereal_2_merged_varjo.mp4,error frame,123.76,skill:score,"31:2, 13:2",,varjo,True,126.82212599121164
26,P24,cereal,P24_cereal_2_merged_varjo.mp4,error frame,137.72,skill:score,"31:2, 13:2",,varjo,True,140.78212599121164
27,P24,cereal,P24_cereal_2_merged_varjo.mp4,error frame,140.32,skill:score,10:2,,varjo,True,143.38212599121164
28,P24,cereal,P24_cereal_2_merged_varjo.mp4,error frame,145.2,skill:score,31:2,,varjo,True,148.26212599121163
29,P2,cereal,P2_cereal_2_merged_varjo.mp4,error frame,12.88,skill:score,"6:2, 27:2",,varjo,True,11.972660455124457
30,P2,cereal,P2_cereal_2_merged_varjo.mp4,error frame,14.84,skill:score,"31:2, 13:2",,varjo,True,13.932660455124456
31,P2,cereal,P2_cereal_2_merged_varjo.mp4,error frame,16.2,skill:score,"31:2, 13:2",,varjo,True,15.292660455124455
32,P2,cereal,P2_cereal_2_merged_varjo.mp4,error frame,20.88,skill:score,"31:2, 13:2, 21:2",,varjo,True,19.972660455124455
33,P2,cereal,P2_cereal_2_merged_varjo.mp4,error frame,23.52,skill:score,"27:2, 7:2",,varjo,True,22.612660455124455
34,P2,cereal,P2_cereal_2_merged_varjo.mp4,error frame,24.76,skill:score,"31:2, 13:2",,varjo,True,23.852660455124457
35,P2,cereal,P2_cereal_2_merged_varjo.mp4,error frame,28.24,skill:score,23:2,,varjo,True,27.332660455124454
36,P2,cereal,P2_cereal_2_merged_varjo.mp4,error frame,40.64,skill:score,"31:2, 13:2, 21:2",,varjo,True,39.73266045512446
37,P2,cereal,P2_cereal_2_merged_varjo.mp4,error frame,50.56,skill:score,"31:2, 13:2, 21:2",,varjo,True,49.65266045512446
38,P2,cereal,P2_cereal_2_merged_varjo.mp4,error frame,53.32,skill:score,3:2,,varjo,True,52.41266045512445
39,P2,cereal,P2_cereal_2_merged_varjo.mp4,error frame,56.08,skill:score,"31:2, 13:2",,varjo,True,55.17266045512446
40,P2,cereal,P2_cereal_2_merged_varjo.mp4,error frame,56.72,skill:score,"6:2, 13:2",,varjo,True,55.81266045512446
41,P2,cereal,P2_cereal_2_merged_varjo.mp4,error frame,59.32,skill:score,"3:2, 1:2",,varjo,True,58.41266045512445
42,P2,cereal,P2_cereal_2_merged_varjo.mp4,error frame,73.96,skill:score,"31:2, 13:2",,varjo,True,73.05266045512445
43,P2,cereal,P2_cereal_2_merged_varjo.mp4,error frame,83.2,skill:score,"6:2, 8:2",,varjo,True,82.29266045512446
44,P2,cereal,P2_cereal_2_merged_varjo.mp4,error frame,99.28,skill:score,"6:2, 13:2",,varjo,True,98.37266045512446
45,P2,cereal,P2_cereal_2_merged_varjo.mp4,error frame,102.32,skill:score,32:2,,varjo,True,101.41266045512445
46,P2,cereal,P2_cereal_2_merged_varjo.mp4,error frame,103.04,skill:score,7:2,,varjo,True,102.13266045512447
47,P2,cereal,P2_cereal_2_merged_varjo.mp4,error frame,103.88,skill:score,21:2,,varjo,True,102.97266045512445
48,P2,cereal,P2_cereal_2_merged_varjo.mp4,error frame,104.96,skill:score,33:2,,varjo,True,104.05266045512445
49,P2,cereal,P2_cereal_2_merged_varjo.mp4,error frame,107.24,skill:score,"31:2, 13:2",,varjo,True,106.33266045512445
50,P2,cereal,P2_cereal_2_merged_varjo.mp4,error frame,115.72,skill:score,"31:2, 13:2, 21:2",,varjo,True,114.81266045512446
51,P2,cereal,P2_cereal_2_merged_varjo.mp4,error frame,116.88,skill:score,"31:2, 13:2",,varjo,True,115.97266045512445
52,P21,cereal,P21_cereal_2_merged_varjo.mp4,error frame,15.4,skill:score,"31:2, 10>2",,varjo,True,39.02727132828931
53,P21,cereal,P21_cereal_2_merged_varjo.mp4,error frame,16.48,skill:score,6:2,,varjo,True,40.107271328289315
54,P21,cereal,P21_cereal_2_merged_varjo.mp4,error frame,19.6,skill:score,7:2,,varjo,True,43.22727132828931
55,P21,cereal,P21_cereal_2_merged_varjo.mp4,error frame,21.76,skill:score,31:2,,varjo,True,45.387271328289316
56,P21,cereal,P21_cereal_2_merged_varjo.mp4,error frame,22.72,skill:score,"6:2, 13:2",,varjo,True,46.34727132828931
57,P21,cereal,P21_cereal_2_merged_varjo.mp4,error frame,24.92,skill:score,6:3,,varjo,True,48.54727132828931
58,P21,cereal,P21_cereal_2_merged_varjo.mp4,error frame,26.96,skill:score,16:2,,varjo,True,50.58727132828931
59,P21,cereal,P21_cereal_2_merged_varjo.mp4,error frame,35.48,skill:score,3:2,,varjo,True,59.10727132828931
60,P21,cereal,P21_cereal_2_merged_varjo.mp4,error frame,54.6,skill:score,"31:2, 33:2",,varjo,True,78.2272713282893
61,P21,cereal,P21_cereal_2_merged_varjo.mp4,error frame,60.32,skill:score,"31:2,",,varjo,True,83.9472713282893
62,P21,cereal,P21_cereal_2_merged_varjo.mp4,error frame,86.72,skill:score,"31:2,",,varjo,True,110.34727132828931
63,P21,cereal,P21_cereal_2_merged_varjo.mp4,error frame,89.72,skill:score,"31:2,",,varjo,True,113.34727132828931
64,P21,cereal,P21_cereal_2_merged_varjo.mp4,error frame,104.8,skill:score,6:3,,varjo,True,128.4272713282893
65,P21,cereal,P21_cereal_2_merged_varjo.mp4,error frame,107.48,skill:score,"3:2, 1:2",,varjo,True,131.1072713282893
66,P21,cereal,P21_cereal_2_merged_varjo.mp4,error frame,110.12,skill:score,"31:2, 21:2",,varjo,True,133.74727132828932
67,P21,cereal,P21_cereal_2_merged_varjo.mp4,error frame,126.2,skill:score,"10:2, 29:2",,varjo,True,149.82727132828933
68,P21,cereal,P21_cereal_2_merged_varjo.mp4,error frame,145.12,skill:score,"31:2, 13:2",,varjo,True,168.74727132828932
69,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,18.2,skill:score,"6:2, 8:2",,varjo,True,16.560996106787215
70,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,19.32,skill:score,"6:2, 13:2, 3:2",,varjo,True,17.680996106787212
71,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,22.4,skill:score,10:2,,varjo,True,20.76099610678721
72,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,32.72,skill:score,3:2,,varjo,True,31.08099610678721
73,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,45.36,skill:score,31:2,,varjo,True,43.72099610678721
74,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,47.16,skill:score,33:2,,varjo,True,45.52099610678721
75,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,53.36,skill:score,27:2,,varjo,True,51.72099610678721
76,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,58.72,skill:score,"31:2, 13:2",,varjo,True,57.08099610678721
77,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,91.2,skill:score,"6:2, 8:2",,varjo,True,89.56099610678721
78,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,95.72,skill:score,27:2,,varjo,True,94.08099610678721
79,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,105.12,skill:score,"31:2, 13:2",,varjo,True,103.48099610678722
80,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,116.84,skill:score,33:2,,varjo,True,115.20099610678722
81,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,131.8,skill:score,"6:2, 8:2",,varjo,True,130.16099610678722
82,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,135.64,skill:score,"6:2, 8:2",,varjo,True,134.0009961067872
83,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,144.16,skill:score,"31:2, 13:2, 16:2",,varjo,True,142.5209961067872
84,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,148.24,skill:score,6:2,,varjo,True,146.60099610678722
85,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,173.92,skill:score,29:2,,varjo,True,172.2809961067872
86,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,175.24,skill:score,"31:2, 16:2, 13:2",,varjo,True,173.60099610678722
87,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,176.84,skill:score,29:2,,varjo,True,175.20099610678722
88,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,178.08,skill:score,29:2,,varjo,True,176.44099610678722
89,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,188.0,skill:score,"24:2, 29:2",,varjo,True,186.3609961067872
90,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,194.08,skill:score,27:2,,varjo,True,192.44099610678722
91,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,195.52,skill:score,6:2,,varjo,True,193.88099610678722
92,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,196.24,skill:score,"33:2, 10:2",,varjo,True,194.60099610678722
93,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,198.96,skill:score,"1:2, 3:2",,varjo,True,197.32099610678722
94,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,217.24,skill:score,24:2,,varjo,True,215.60099610678722
95,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,219.92,skill:score,23:2,,varjo,True,218.2809961067872
96,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,222.32,skill:score,"31:2, 13:2",,varjo,True,220.6809961067872
97,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,222.76,skill:score,29:2,,varjo,True,221.1209961067872
98,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,225.4,skill:score,10:2,,varjo,True,223.76099610678722
99,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,235.44,skill:score,"31:2, 13:2",,varjo,True,233.8009961067872
100,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,241.88,skill:score,10:2,,varjo,True,240.2409961067872
101,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,248.24,skill:score,33:2,,varjo,True,246.60099610678722
102,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,267.0,skill:score,"6:2, 8:2",,varjo,True,265.36099610678724
103,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,268.56,skill:score,"3:2, 1:2",,varjo,True,266.92099610678724
104,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,270.96,skill:score,3:2,,varjo,True,269.3209961067872
105,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,278.84,skill:score,"6:2, 8:2",,varjo,True,277.2009961067872
106,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,286.96,skill:score,"23:2, 24:2",,varjo,True,285.3209961067872
107,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,289.92,skill:score,6:2,,varjo,True,288.28099610678726
108,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,291.8,skill:score,3:2,,varjo,True,290.16099610678725
109,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,294.92,skill:score,23:3,,varjo,True,293.28099610678726
110,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,301.0,skill:score,23:2,,varjo,True,299.36099610678724
111,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,307.8,skill:score,"31:2, 13:2, 16:2",,varjo,True,306.16099610678725
112,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,311.24,skill:score,24:2,,varjo,True,309.60099610678725
113,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,319.56,skill:score,6:2,,varjo,True,317.92099610678724
114,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,334.4,skill:score,"29:2, 10:2",,varjo,True,332.7609961067872
115,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,335.96,skill:score,"10:2, 24:2",,varjo,True,334.3209961067872
116,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,336.96,skill:score,"31:2, 29:2, 13:2",,varjo,True,335.3209961067872
117,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,339.52,skill:score,"24:2, 16:2",,varjo,True,337.8809961067872
118,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,349.0,skill:score,"31:2, 13:2",,varjo,True,347.36099610678724
119,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,351.72,skill:score,23:2,,varjo,True,350.08099610678727
120,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,352.6,skill:score,16:2,,varjo,True,350.96099610678726
121,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,355.04,skill:score,27:2,,varjo,True,353.40099610678726
122,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,356.88,skill:score,27:2,,varjo,True,355.24099610678724
123,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,360.32,skill:score,19:2,,varjo,True,358.68099610678723
124,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,363.12,skill:score,31:2,,varjo,True,361.48099610678725
125,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,364.64,skill:score,23:2,,varjo,True,363.0009961067872
126,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,368.08,skill:score,31:2,,varjo,True,366.4409961067872
127,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,368.72,skill:score,10:2,,varjo,True,367.08099610678727
128,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,371.12,skill:score,"33:2, 10:2",,varjo,True,369.48099610678725
129,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,381.56,skill:score,33:2,,varjo,True,379.92099610678724
130,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,387.44,skill:score,"31:2, 16:2",,varjo,True,385.80099610678724
131,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,389.88,skill:score,"31:2, 13:2, 19:2",,varjo,True,388.24099610678724
132,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,391.36,skill:score,33:2,,varjo,True,389.72099610678725
133,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,395.12,skill:score,29:2,,varjo,True,393.48099610678725
134,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,395.32,skill:score,"29:2, 10:2",,varjo,True,393.68099610678723
135,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,400.32,skill:score,"31:2, 13:2",,varjo,True,398.68099610678723
136,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,401.32,skill:score,10:2,,varjo,True,399.68099610678723
137,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,409.88,skill:score,"26:2, 3:2",,varjo,True,408.24099610678724
138,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,412.76,skill:score,"33:2, 3:2",,varjo,True,411.12099610678723
139,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,415.92,skill:score,"33:2, 3:2",,varjo,True,414.28099610678726
140,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,422.64,skill:score,"31:2, 13:2",,varjo,True,421.0009961067872
141,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,423.16,skill:score,10:2,,varjo,True,421.52099610678727
142,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,433.68,skill:score,23:2,,varjo,True,432.04099610678725
143,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,442.36,skill:score,27:2,,varjo,True,440.72099610678725
144,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,445.12,skill:score,32:2,,varjo,True,443.48099610678725
145,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,449.32,skill:score,"31:2, 13:2",,varjo,True,447.68099610678723
146,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,450.64,skill:score,"31:2, 13:2",,varjo,True,449.0009961067872
147,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,457.96,skill:score,3:2,,varjo,True,456.3209961067872
148,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,460.2,skill:score,"3:2, 7:2",,varjo,True,458.56099610678723
149,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,463.0,skill:score,10:2,,varjo,True,461.36099610678724
150,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,471.4,skill:score,10:2,,varjo,True,469.7609961067872
151,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,478.84,skill:score,32:2,,varjo,True,477.2009961067872
152,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,481.36,skill:score,30:2,,varjo,True,479.72099610678725
153,P8,sandwich,P8_sandwich_2_merged_2022-02-03_10-25-22-332.mp4,error frame,261.0,skill:score,3:2,,varjo,True,263.3954599689888
154,P8,sandwich,P8_sandwich_2_merged_2022-02-03_10-25-22-332.mp4,error frame,271.56,skill:score,24:2,,varjo,True,273.9554599689888
155,P8,sandwich,P8_sandwich_2_merged_2022-02-03_10-25-22-332.mp4,error frame,278.72,skill:score,8:2,,varjo,True,281.11545996898883
156,P8,sandwich,P8_sandwich_2_merged_2022-02-03_10-25-22-332.mp4,error frame,286.92,skill:score,3:2,,varjo,True,289.3154599689888
157,P8,sandwich,P8_sandwich_2_merged_2022-02-03_10-25-22-332.mp4,error frame,306.96,skill:score,24:2,,varjo,True,309.3554599689888
158,P8,sandwich,P8_sandwich_2_merged_2022-02-03_10-25-22-332.mp4,error frame,312.48,skill:score,"8:2, 7:2",,varjo,True,314.8754599689888
159,P8,sandwich,P8_sandwich_2_merged_2022-02-03_10-25-22-332.mp4,error frame,318.2,skill:score,6:2,,varjo,True,320.5954599689888
160,P8,sandwich,P8_sandwich_2_merged_2022-02-03_10-25-22-332.mp4,error frame,326.12,skill:score,8:2,,varjo,True,328.5154599689888
161,P8,sandwich,P8_sandwich_2_merged_2022-02-03_10-25-22-332.mp4,error frame,334.48,skill:score,24:2,,varjo,True,336.8754599689888
162,P8,sandwich,P8_sandwich_2_merged_2022-02-03_10-25-22-332.mp4,error frame,338.56,skill:score,7:2,,varjo,True,340.9554599689888
163,P8,sandwich,P8_sandwich_2_merged_2022-02-03_10-25-22-332.mp4,error frame,346.16,skill:score,"13:2, 8:2",,varjo,True,348.5554599689888
164,P8,sandwich,P8_sandwich_2_merged_2022-02-03_10-25-22-332.mp4,error frame,349.12,skill:score,29:2,,varjo,True,351.5154599689888
165,P8,sandwich,P8_sandwich_2_merged_2022-02-03_10-25-22-332.mp4,error frame,351.68,skill:score,24:2,,varjo,True,354.0754599689888
166,P8,sandwich,P8_sandwich_2_merged_2022-02-03_10-25-22-332.mp4,error frame,353.12,skill:score,"8:2, 6:2",,varjo,True,355.5154599689888
167,P8,sandwich,P8_sandwich_2_merged_2022-02-03_10-25-22-332.mp4,error frame,355.8,skill:score,13:2,,varjo,True,358.1954599689888
168,P8,sandwich,P8_sandwich_2_merged_2022-02-03_10-25-22-332.mp4,error frame,359.12,skill:score,8:2,,varjo,True,361.5154599689888
169,P8,sandwich,P8_sandwich_2_merged_2022-02-03_10-25-22-332.mp4,error frame,366.52,skill:score,"32:2,21:2, 8:2",,varjo,True,368.9154599689888
170,P8,sandwich,P8_sandwich_2_merged_2022-02-03_10-25-22-332.mp4,error frame,385.2,skill:score,8:2,,varjo,True,387.5954599689888
171,P8,sandwich,P8_sandwich_2_merged_2022-02-03_10-25-22-332.mp4,error frame,401.08,skill:score,"29:2,21:2",,varjo,True,403.4754599689888
172,P8,sandwich,P8_sandwich_2_merged_2022-02-03_10-25-22-332.mp4,error frame,440.32,skill:score,6:2,,varjo,True,442.7154599689888
173,P8,sandwich,P8_sandwich_2_merged_2022-02-03_10-25-22-332.mp4,error frame,522.88,skill:score,29:2,,varjo,True,525.2754599689888
174,P8,sandwich,P8_sandwich_2_merged_2022-02-03_10-25-22-332.mp4,error frame,523.72,skill:score,3:2,,varjo,True,526.1154599689888
175,P8,sandwich,P8_sandwich_2_merged_2022-02-03_10-25-22-332.mp4,error frame,525.52,skill:score,8:2,,varjo,True,527.9154599689888
176,P8,sandwich,P8_sandwich_2_merged_2022-02-03_10-25-22-332.mp4,error frame,530.68,skill:score,"13:2,3:2",,varjo,True,533.0754599689888
177,P8,sandwich,P8_sandwich_2_merged_2022-02-03_10-25-22-332.mp4,error frame,534.76,skill:score,"24:2, 23:2",,varjo,True,537.1554599689888
178,P8,sandwich,P8_sandwich_2_merged_2022-02-03_10-25-22-332.mp4,error frame,558.6,skill:score,31:2,,varjo,True,560.9954599689888
179,P8,sandwich,P8_sandwich_2_merged_2022-02-03_10-25-22-332.mp4,error frame,566.28,skill:score,26:2,,varjo,True,568.6754599689888
180,P8,sandwich,P8_sandwich_2_merged_2022-02-03_10-25-22-332.mp4,error frame,572.6,skill:score,"16:3, 24:2",,varjo,True,574.9954599689888
181,P8,sandwich,P8_sandwich_2_merged_2022-02-03_10-25-22-332.mp4,error frame,583.04,skill:score,"3:2, 13:2, 14:2, 21:2",,varjo,True,585.4354599689888
182,P8,sandwich,P8_sandwich_2_merged_2022-02-03_10-25-22-332.mp4,error frame,591.64,skill:score,23:2,,varjo,True,594.0354599689888
183,P8,sandwich,P8_sandwich_2_merged_2022-02-03_10-25-22-332.mp4,error frame,595.28,skill:score,13:2,,varjo,True,597.6754599689888
184,P8,sandwich,P8_sandwich_2_merged_2022-02-03_10-25-22-332.mp4,error frame,595.72,skill:score,26:2,,varjo,True,598.1154599689888
185,P8,sandwich,P8_sandwich_2_merged_2022-02-03_10-25-22-332.mp4,error frame,600.64,skill:score,"24.2, 21:2,29:2",,varjo,True,603.0354599689888
186,P8,sandwich,P8_sandwich_2_merged_2022-02-03_10-25-22-332.mp4,error frame,611.64,skill:score,31:2,,varjo,True,614.0354599689888
