counter,subID,task,Video,Track,Timestamp,errors_in_frame,time_to_prev_error,time_to_next_error,value1,error_type_value1,error_subtype_value1,value1b,value2,error_type_value2,error_subtype_value2,value2b,value3,error_type_value3,error_subtype_value3,value3b,value4,error_type_value4,error_subtype_value4,value4b,value5,error_type_value5,error_subtype_value5,value5b,HMD,offset,Timestamp_adjusted
38,P2,cereal,P2_cereal_2_merged_varjo.mp4,error frame,53.32,1,2.76,-2.76,3,1,1,2, , , , , , , , , , , , , , , , ,varjo,True,52.4126604551245
39,P2,cereal,P2_cereal_2_merged_varjo.mp4,error frame,56.08,2,2.76,-.640000000000001,31,2,8,2,13,1,3,2, , , , , , , , , , , , ,varjo,True,55.1726604551245
40,P2,cereal,P2_cereal_2_merged_varjo.mp4,error frame,56.72,2,.640000000000001,-2.6,6,1,2,2,13,1,3,2, , , , , , , , , , , , ,varjo,True,55.8126604551245
41,P2,cereal,P2_cereal_2_merged_varjo.mp4,error frame,59.32,2,2.6,-14.64,3,1,1,2,1,1,1,2, , , , , , , , , , , , ,varjo,True,58.4126604551245
42,P2,cereal,P2_cereal_2_merged_varjo.mp4,error frame,73.96,2,14.64,-9.24000000000001,31,2,8,2,13,1,3,2, , , , , , , , , , , , ,varjo,True,73.0526604551245
43,P2,cereal,P2_cereal_2_merged_varjo.mp4,error frame,83.2,2,9.24000000000001,-16.08,6,1,2,2,8,1,2,2, , , , , , , , , , , , ,varjo,True,82.2926604551245
44,P2,cereal,P2_cereal_2_merged_varjo.mp4,error frame,99.28,2,16.08,-3.03999999999999,6,1,2,2,13,1,3,2, , , , , , , , , , , , ,varjo,True,98.3726604551245
45,P2,cereal,P2_cereal_2_merged_varjo.mp4,error frame,102.32,1,3.03999999999999,-.720000000000013,32,2,9,2, , , , , , , , , , , , , , , , ,varjo,True,101.412660455124
46,P2,cereal,P2_cereal_2_merged_varjo.mp4,error frame,103.04,1,.720000000000013,-.839999999999989,7,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,102.132660455124
47,P2,cereal,P2_cereal_2_merged_varjo.mp4,error frame,103.88,1,.839999999999989,-1.08,21,2,6,2, , , , , , , , , , , , , , , , ,varjo,True,102.972660455124
48,P2,cereal,P2_cereal_2_merged_varjo.mp4,error frame,104.96,1,1.08,-2.28,33,2,9,2, , , , , , , , , , , , , , , , ,varjo,True,104.052660455124
49,P2,cereal,P2_cereal_2_merged_varjo.mp4,error frame,107.24,2,2.28,-8.48,31,2,8,2,13,1,3,2, , , , , , , , , , , , ,varjo,True,106.332660455124
50,P2,cereal,P2_cereal_2_merged_varjo.mp4,error frame,115.72,3,8.48,-1.16,31,2,8,2,13,1,3,2,21,2,6,2, , , , , , , , ,varjo,True,114.812660455124
51,P2,cereal,P2_cereal_2_merged_varjo.mp4,error frame,116.88,2,1.16, ,31,2,8,2,13,1,3,2, , , , , , , , , , , , ,varjo,True,115.972660455124
52,P21,cereal,P21_cereal_2_merged_varjo.mp4,error frame,15.4,1, ,-1.08,31,2,8,2, , , , , , , , , , , , , , , , ,varjo,True,39.0272713282893
53,P21,cereal,P21_cereal_2_merged_varjo.mp4,error frame,16.48,1,1.08,-3.12,6,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,40.1072713282893
54,P21,cereal,P21_cereal_2_merged_varjo.mp4,error frame,19.6,1,3.12,-2.16,7,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,43.2272713282893
55,P21,cereal,P21_cereal_2_merged_varjo.mp4,error frame,21.76,1,2.16,-.959999999999997,31,2,8,2, , , , , , , , , , , , , , , , ,varjo,True,45.3872713282893
56,P21,cereal,P21_cereal_2_merged_varjo.mp4,error frame,22.72,2,.959999999999997,-2.2,6,1,2,2,13,1,3,2, , , , , , , , , , , , ,varjo,True,46.3472713282893
57,P21,cereal,P21_cereal_2_merged_varjo.mp4,error frame,24.92,1,2.2,-2.04,6,1,2,3, , , , , , , , , , , , , , , , ,varjo,True,48.5472713282893
58,P21,cereal,P21_cereal_2_merged_varjo.mp4,error frame,26.96,1,2.04,-8.52,16,1,5,2, , , , , , , , , , , , , , , , ,varjo,True,50.5872713282893
59,P21,cereal,P21_cereal_2_merged_varjo.mp4,error frame,35.48,1,8.52,-19.12,3,1,1,2, , , , , , , , , , , , , , , , ,varjo,True,59.1072713282893
60,P21,cereal,P21_cereal_2_merged_varjo.mp4,error frame,54.6,2,19.12,-5.72,31,2,8,2,33,2,9,2, , , , , , , , , , , , ,varjo,True,78.2272713282893
61,P21,cereal,P21_cereal_2_merged_varjo.mp4,error frame,60.32,1,5.72,-26.4,31,2,8,2, , , , , , , , , , , , , , , , ,varjo,True,83.9472713282893
62,P21,cereal,P21_cereal_2_merged_varjo.mp4,error frame,86.72,1,26.4,-3,31,2,8,2, , , , , , , , , , , , , , , , ,varjo,True,110.347271328289
63,P21,cereal,P21_cereal_2_merged_varjo.mp4,error frame,89.72,1,3,-15.08,31,2,8,2, , , , , , , , , , , , , , , , ,varjo,True,113.347271328289
64,P21,cereal,P21_cereal_2_merged_varjo.mp4,error frame,104.8,1,15.08,-2.68000000000001,6,1,2,3, , , , , , , , , , , , , , , , ,varjo,True,128.427271328289
65,P21,cereal,P21_cereal_2_merged_varjo.mp4,error frame,107.48,2,2.68000000000001,-2.64,3,1,1,2,1,1,1,2, , , , , , , , , , , , ,varjo,True,131.107271328289
66,P21,cereal,P21_cereal_2_merged_varjo.mp4,error frame,110.12,2,2.64,-16.08,31,2,8,2,21,2,6,2, , , , , , , , , , , , ,varjo,True,133.747271328289
67,P21,cereal,P21_cereal_2_merged_varjo.mp4,error frame,126.2,2,16.08,-18.92,10,1,3,2,29,2,8,2, , , , , , , , , , , , ,varjo,True,149.827271328289
68,P21,cereal,P21_cereal_2_merged_varjo.mp4,error frame,145.12,2,18.92, ,31,2,8,2,13,1,3,2, , , , , , , , , , , , ,varjo,True,168.747271328289
69,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,18.2,2, ,-1.12,6,1,2,2,8,1,2,2, , , , , , , , , , , , ,varjo,True,16.5609961067872
70,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,19.32,3,1.12,-3.08,6,1,2,2,13,1,3,2,3,1,1,2, , , , , , , , ,varjo,True,17.6809961067872
71,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,22.4,1,3.08,-10.32,10,1,3,2, , , , , , , , , , , , , , , , ,varjo,True,20.7609961067872
72,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,32.72,1,10.32,-12.64,3,1,1,2, , , , , , , , , , , , , , , , ,varjo,True,31.0809961067872
73,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,45.36,1,12.64,-1.8,31,2,8,2, , , , , , , , , , , , , , , , ,varjo,True,43.7209961067872
74,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,47.16,1,1.8,-6.2,33,2,9,2, , , , , , , , , , , , , , , , ,varjo,True,45.5209961067872
75,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,53.36,1,6.2,-5.36,27,2,8,2, , , , , , , , , , , , , , , , ,varjo,True,51.7209961067872
76,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,58.72,2,5.36,-32.48,31,2,8,2,13,1,3,2, , , , , , , , , , , , ,varjo,True,57.0809961067872
77,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,91.2,2,32.48,-4.52,6,1,2,2,8,1,2,2, , , , , , , , , , , , ,varjo,True,89.5609961067872
78,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,95.72,1,4.52,-9.40000000000001,27,2,8,2, , , , , , , , , , , , , , , , ,varjo,True,94.0809961067872
79,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,105.12,2,9.40000000000001,-11.72,31,2,8,2,13,1,3,2, , , , , , , , , , , , ,varjo,True,103.480996106787
80,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,116.84,1,11.72,-14.96,33,2,9,2, , , , , , , , , , , , , , , , ,varjo,True,115.200996106787
81,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,131.8,2,14.96,-3.83999999999997,6,1,2,2,8,1,2,2, , , , , , , , , , , , ,varjo,True,130.160996106787
82,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,135.64,2,3.83999999999997,-8.52000000000001,6,1,2,2,8,1,2,2, , , , , , , , , , , , ,varjo,True,134.000996106787
83,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,144.16,3,8.52000000000001,-4.08000000000001,31,2,8,2,13,1,3,2,16,1,5,2, , , , , , , , ,varjo,True,142.520996106787
84,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,148.24,1,4.08000000000001,-25.68,6,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,146.600996106787
85,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,173.92,1,25.68,-1.32000000000002,29,2,8,2, , , , , , , , , , , , , , , , ,varjo,True,172.280996106787
86,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,175.24,3,1.32000000000002,-1.59999999999999,31,2,8,2,16,1,5,2,13,1,3,2, , , , , , , , ,varjo,True,173.600996106787
87,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,176.84,1,1.59999999999999,-1.24000000000001,29,2,8,2, , , , , , , , , , , , , , , , ,varjo,True,175.200996106787
88,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,178.08,1,1.24000000000001,-9.91999999999999,29,2,8,2, , , , , , , , , , , , , , , , ,varjo,True,176.440996106787
89,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,188,2,9.91999999999999,-6.08000000000001,24,2,7,2,29,2,8,2, , , , , , , , , , , , ,varjo,True,186.360996106787
90,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,194.08,1,6.08000000000001,-1.44,27,2,8,2, , , , , , , , , , , , , , , , ,varjo,True,192.440996106787
91,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,195.52,1,1.44,-.719999999999999,6,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,193.880996106787
92,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,196.24,2,.719999999999999,-2.72,33,2,9,2,10,1,3,2, , , , , , , , , , , , ,varjo,True,194.600996106787
93,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,198.96,2,2.72,-18.28,1,1,1,2,3,1,1,2, , , , , , , , , , , , ,varjo,True,197.320996106787
94,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,217.24,1,18.28,-2.67999999999998,24,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,215.600996106787
95,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,219.92,1,2.67999999999998,-2.40000000000001,23,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,218.280996106787
96,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,222.32,2,2.40000000000001,-.439999999999998,31,2,8,2,13,1,3,2, , , , , , , , , , , , ,varjo,True,220.680996106787
97,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,222.76,1,.439999999999998,-2.64000000000001,29,2,8,2, , , , , , , , , , , , , , , , ,varjo,True,221.120996106787
98,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,225.4,1,2.64000000000001,-10.04,10,1,3,2, , , , , , , , , , , , , , , , ,varjo,True,223.760996106787
99,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,235.44,2,10.04,-6.44,31,2,8,2,13,1,3,2, , , , , , , , , , , , ,varjo,True,233.800996106787
100,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,241.88,1,6.44,-6.36000000000001,10,1,3,2, , , , , , , , , , , , , , , , ,varjo,True,240.240996106787
101,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,248.24,1,6.36000000000001,-18.76,33,2,9,2, , , , , , , , , , , , , , , , ,varjo,True,246.600996106787
102,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,267,2,18.76,-1.56,6,1,2,2,8,1,2,2, , , , , , , , , , , , ,varjo,True,265.360996106787
103,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,268.56,2,1.56,-2.39999999999998,3,1,1,2,1,1,1,2, , , , , , , , , , , , ,varjo,True,266.920996106787
104,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,270.96,1,2.39999999999998,-7.88,3,1,1,2, , , , , , , , , , , , , , , , ,varjo,True,269.320996106787
105,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,278.84,2,7.88,-8.12,6,1,2,2,8,1,2,2, , , , , , , , , , , , ,varjo,True,277.200996106787
106,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,286.96,2,8.12,-2.96000000000004,23,2,7,2,24,2,7,2, , , , , , , , , , , , ,varjo,True,285.320996106787
107,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,289.92,1,2.96000000000004,-1.88,6,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,288.280996106787
108,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,291.8,1,1.88,-3.12,3,1,1,2, , , , , , , , , , , , , , , , ,varjo,True,290.160996106787
109,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,294.92,1,3.12,-6.07999999999998,23,2,7,3, , , , , , , , , , , , , , , , ,varjo,True,293.280996106787
110,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,301,1,6.07999999999998,-6.80000000000001,23,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,299.360996106787
111,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,307.8,3,6.80000000000001,-3.44,31,2,8,2,13,1,3,2,16,1,5,2, , , , , , , , ,varjo,True,306.160996106787
112,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,311.24,1,3.44,-8.31999999999999,24,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,309.600996106787
113,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,319.56,1,8.31999999999999,-14.84,6,1,2,2, , , , , , , , , , , , , , , , ,varjo,True,317.920996106787
114,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,334.4,2,14.84,-1.56,29,2,8,2,10,1,3,2, , , , , , , , , , , , ,varjo,True,332.760996106787
115,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,335.96,2,1.56,-1,10,1,3,2,24,2,7,2, , , , , , , , , , , , ,varjo,True,334.320996106787
116,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,336.96,3,1,-2.56,31,2,8,2,29,2,8,2,13,1,3,2, , , , , , , , ,varjo,True,335.320996106787
117,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,339.52,2,2.56,-9.48000000000002,24,2,7,2,16,1,5,2, , , , , , , , , , , , ,varjo,True,337.880996106787
118,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,349,2,9.48000000000002,-2.72000000000003,31,2,8,2,13,1,3,2, , , , , , , , , , , , ,varjo,True,347.360996106787
119,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,351.72,1,2.72000000000003,-.879999999999995,23,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,350.080996106787
120,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,352.6,1,.879999999999995,-2.44,16,1,5,2, , , , , , , , , , , , , , , , ,varjo,True,350.960996106787
121,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,355.04,1,2.44,-1.83999999999997,27,2,8,2, , , , , , , , , , , , , , , , ,varjo,True,353.400996106787
122,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,356.88,1,1.83999999999997,-3.44,27,2,8,2, , , , , , , , , , , , , , , , ,varjo,True,355.240996106787
123,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,360.32,1,3.44,-2.80000000000001,19,2,6,2, , , , , , , , , , , , , , , , ,varjo,True,358.680996106787
124,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,363.12,1,2.80000000000001,-1.51999999999998,31,2,8,2, , , , , , , , , , , , , , , , ,varjo,True,361.480996106787
125,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,364.64,1,1.51999999999998,-3.44,23,2,7,2, , , , , , , , , , , , , , , , ,varjo,True,363.000996106787
126,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,368.08,1,3.44,-.640000000000043,31,2,8,2, , , , , , , , , , , , , , , , ,varjo,True,366.440996106787
127,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,368.72,1,.640000000000043,-2.39999999999998,10,1,3,2, , , , , , , , , , , , , , , , ,varjo,True,367.080996106787
128,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,371.12,2,2.39999999999998,-10.44,33,2,9,2,10,1,3,2, , , , , , , , , , , , ,varjo,True,369.480996106787
129,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,381.56,1,10.44,-5.88,33,2,9,2, , , , , , , , , , , , , , , , ,varjo,True,379.920996106787
130,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,387.44,2,5.88,-2.44,31,2,8,2,16,1,5,2, , , , , , , , , , , , ,varjo,True,385.800996106787
131,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,389.88,3,2.44,-1.48000000000002,31,2,8,2,13,1,3,2,19,2,6,2, , , , , , , , ,varjo,True,388.240996106787
132,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,391.36,1,1.48000000000002,-3.75999999999999,33,2,9,2, , , , , , , , , , , , , , , , ,varjo,True,389.720996106787
133,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,395.12,1,3.75999999999999,-.199999999999989,29,2,8,2, , , , , , , , , , , , , , , , ,varjo,True,393.480996106787
134,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,395.32,2,.199999999999989,-5,29,2,8,2,10,1,3,2, , , , , , , , , , , , ,varjo,True,393.680996106787
135,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,400.32,2,5,-1,31,2,8,2,13,1,3,2, , , , , , , , , , , , ,varjo,True,398.680996106787
136,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,401.32,1,1,-8.56,10,1,3,2, , , , , , , , , , , , , , , , ,varjo,True,399.680996106787
137,P13,sandwich,P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.mp4,error frame,409.88,2,8.56,-2.88,26,2,7,2,3,1,1,2, , , , , , , , , , , , ,varjo,True,408.240996106787
